0,0,0
0,0,0
0.0535404,0.00171007,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0567193,0.0224835,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0679016,0.0245534,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0679217,0.0525012,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0731675,0.0153203,0
0.0732361,0.00930236,0
0,0,0
0,0,0
0,0,0
0.0731379,0.0402866,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.14629,0.0267714,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0813736,0.0459291,0
0,0,0
0,0,0
0.0843828,0.047123,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0844125,0.0313554,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.164586,0.103017,0
0.0824887,0.0119924,0
0,0,0
0.0829713,0.0398166,0
0,0,0
0,0,0
0,0,0
0.0829433,0.0411473,0
0,0,0
0.0828436,0.0607276,1.55683e-06
0,0,0
0,0,0
0.0826167,0.0647735,0
0,0,0
0,0,0
0.0804402,0.0130803,0
0.16089,0.0635902,0
