0.943359, 0.62625, 0.693239
0.943359, 0.6275, 0.70982
0.943359, 0.62875, 0.727858
0.943359, 0.63, 0.734863
0.943359, 0.63125, 0.750902
0.943359, 0.6325, 0.779419
0.943359, 0.63375, 0.791161
0.943359, 0.635, 0.806832
0.943359, 0.63625, 0.825806
0.943359, 0.6375, 0.841064
0.943359, 0.63875, 0.854787
0.943359, 0.64, 0.885558
0.943359, 0.64125, 0.900432
0.943359, 0.6425, 0.920109
0.943359, 0.64375, 0.938743
0.943359, 0.645, 0.945567
0.943359, 0.64625, 0.973118
0.943359, 0.6475, 0.990601
0.943359, 0.64875, 1.00769
0.943359, 0.65, 1.02539
0.943359, 0.65125, 1.04436
0.943359, 0.6525, 1.07294
0.943359, 0.65375, 1.09554
0.943359, 0.655, 1.11624
0.943359, 0.65625, 1.13464
0.943359, 0.6575, 1.15248
0.943359, 0.65875, 1.18108
0.943359, 0.66, 1.20834
0.943359, 0.66125, 1.21687
0.943359, 0.6625, 1.24233
0.943359, 0.66375, 1.26916
0.943359, 0.665, 1.2915
0.943359, 0.66625, 1.32
0.943359, 0.6675, 1.33406
0.943359, 0.66875, 1.36222
0.943359, 0.67, 1.38401
0.943359, 0.67125, 1.40824
0.943359, 0.6725, 1.43651
0.943359, 0.67375, 1.45874
0.943359, 0.675, 1.4826
0.943359, 0.67625, 1.52193
0.943359, 0.6775, 1.54785
0.943359, 0.67875, 1.55914
0.943359, 0.68, 1.59197
0.943359, 0.68125, 1.61593
0.943359, 0.6825, 1.63653
0.943359, 0.68375, 1.65849
0.943359, 0.685, 1.68579
0.943359, 0.68625, 1.72107
0.943359, 0.6875, 1.73465
0.943359, 0.68875, 1.77055
0.943359, 0.69, 1.79487
0.943359, 0.69125, 1.83105
0.943359, 0.6925, 1.85669
0.943359, 0.69375, 1.89141
0.943359, 0.695, 1.90737
0.943359, 0.69625, 1.95027
0.943359, 0.6975, 1.97587
0.943359, 0.69875, 1.98961
0.943359, 0.7, 2.03423
0.943359, 0.70125, 2.06299
0.943359, 0.7025, 2.09407
0.943359, 0.70375, 2.13099
0.943359, 0.705, 2.15125
0.943359, 0.70625, 2.1791
0.943359, 0.7075, 2.21814
0.943359, 0.70875, 2.23452
0.943359, 0.71, 2.28149
0.943359, 0.71125, 2.30814
0.943359, 0.7125, 2.33887
0.943359, 0.71375, 2.37458
0.943359, 0.715, 2.39624
0.943359, 0.71625, 2.43942
0.943359, 0.7175, 2.48265
0.943359, 0.71875, 2.48693
0.943359, 0.72, 2.538
0.943359, 0.72125, 2.56566
0.943359, 0.7225, 2.5976
0.943359, 0.72375, 2.61011
0.943359, 0.725, 2.66602
0.943359, 0.72625, 2.69713
0.943359, 0.7275, 2.72793
0.943359, 0.72875, 2.76123
0.943359, 0.73, 2.7994
0.943359, 0.73125, 2.84994
0.943359, 0.7325, 2.8603
0.943359, 0.73375, 2.88818
0.943359, 0.735, 2.92665
0.943359, 0.73625, 2.97543
0.943359, 0.7375, 3.02002
0.943359, 0.73875, 3.03506
0.943359, 0.74, 3.05592
0.943359, 0.74125, 3.10677
0.943359, 0.7425, 3.14359
0.943359, 0.74375, 3.16933
0.943359, 0.745, 3.21974
0.943359, 0.74625, 3.24071
0.943359, 0.7475, 3.26139
0.943359, 0.74875, 3.32764
0.943359, 0.75, 3.33349
0.943379, 0.62625, 0.693173
0.943379, 0.6275, 0.709724
0.943379, 0.62875, 0.727739
0.943379, 0.63, 0.734863
0.943379, 0.63125, 0.75074
0.943379, 0.6325, 0.779419
0.943379, 0.63375, 0.791076
0.943379, 0.635, 0.80667
0.943379, 0.63625, 0.825806
0.943379, 0.6375, 0.841064
0.943379, 0.63875, 0.85474
0.943379, 0.64, 0.88539
0.943379, 0.64125, 0.900375
0.943379, 0.6425, 0.920109
0.943379, 0.64375, 0.938731
0.943379, 0.645, 0.945646
0.943379, 0.64625, 0.973019
0.943379, 0.6475, 0.990601
0.943379, 0.64875, 1.00769
0.943379, 0.65, 1.02539
0.943379, 0.65125, 1.04417
0.943379, 0.6525, 1.07284
0.943379, 0.65375, 1.09549
0.943379, 0.655, 1.11623
0.943379, 0.65625, 1.13464
0.943379, 0.6575, 1.15232
0.943379, 0.65875, 1.18095
0.943379, 0.66, 1.20813
0.943379, 0.66125, 1.21666
0.943379, 0.6625, 1.24211
0.943379, 0.66375, 1.26904
0.943379, 0.665, 1.2915
0.943379, 0.66625, 1.31978
0.943379, 0.6675, 1.33396
0.943379, 0.66875, 1.36232
0.943379, 0.67, 1.38385
0.943379, 0.67125, 1.40801
0.943379, 0.6725, 1.43646
0.943379, 0.67375, 1.45874
0.943379, 0.675, 1.48227
0.943379, 0.67625, 1.5217
0.943379, 0.6775, 1.54785
0.943379, 0.67875, 1.5589
0.943379, 0.68, 1.5919
0.943379, 0.68125, 1.61592
0.943379, 0.6825, 1.63647
0.943379, 0.68375, 1.65825
0.943379, 0.685, 1.68579
0.943379, 0.68625, 1.72081
0.943379, 0.6875, 1.73473
0.943379, 0.68875, 1.7704
0.943379, 0.69, 1.79468
0.943379, 0.69125, 1.83105
0.943379, 0.6925, 1.85669
0.943379, 0.69375, 1.89122
0.943379, 0.695, 1.90737
0.943379, 0.69625, 1.95054
0.943379, 0.6975, 1.97599
0.943379, 0.69875, 1.98915
0.943379, 0.7, 2.0342
0.943379, 0.70125, 2.06299
0.943379, 0.7025, 2.09378
0.943379, 0.70375, 2.13071
0.943379, 0.705, 2.15116
0.943379, 0.70625, 2.1788
0.943379, 0.7075, 2.21785
0.943379, 0.70875, 2.2343
